# r POT1 POT2 POT3
 1.2 2.50823025 2.47932516999998 2.47197760999998
 1.3 1.71579023000001 1.69643005 1.69374618999998
 1.4 1.15834551999998 1.14598178 1.14674582000001
 1.5 0.767242829999986 0.759908499999995 0.762885119999993
 1.6 0.494872649999991 0.491128279999998 0.495333479999999
 1.7 0.307558809999989 0.306300669999985 0.310998420000004
 1.8 0.181227939999985 0.181577269999991 0.186242730000004
 1.9 0.0985528699999918 0.0997984400000007 0.104022069999985
 2 0.0469974899999954 0.048558700000001 0.0520389099999932
 2.1 0.017472650000002 0.0188769399999842 0.0213710399999911
 2.2 0.00339202999998633 0.00425328000000036 0.00557417999999643
 2.3 0 0 0
 2.4 0.00388164999998253 0.00275289999999018 0.00131437999999662
 2.5 0.0125986999999839 0.0101082599999813 0.00713677999999618
 2.6 0.0244162600000095 0.0203511400000025 0.015770979999985
 2.7 0.0380994999999871 0.0322541099999967 0.0260064599999907
 2.8 0.0527648000000056 0.0449315500000012 0.0369717499999922
 3 0.0826585499999908 0.0701976299999956 0.0587895200000048
 3.2 0.110745930000007 0.0927999999999827 0.0780944999999917
 3.5 0.145502069999992 0.118431240000007 0.0996748299999979
 3.8 0.168458249999986 0.133959829999981 0.112669469999986
 4 0.177033800000004 0.14009969 0.117836659999995
 4.3 0.183040519999992 0.145491010000001 0.122407530000004
 4.6 0.185254530000009 0.148336369999981 0.124831369999981
 5 0.186391189999995 0.15024391 0.126454550000005
 5.5 0.18702017999999 0.151284970000006 0.127324679999987
 6 0.187379499999992 0.151788339999996 0.127749709999989
 10 0.187930590000008 0.152768170000002 0.127839510000001
